gender,signup_date,state_code,acquisition_channel
M,2023-10-25,DC,referral
M,2025-06-27,MD,organic
M,2023-02-01,MI,referral
M,2025-02-27,FL,organic
F,2025-12-17,IN,google_ads
F,2023-10-13,NY,google_ads
F,2024-01-14,NY,referral
M,2025-01-27,TN,referral
F,2022-11-19,LA,meta
M,2023-03-13,TX,meta
F,2024-02-24,TX,referral
M,2026-01-17,WA,meta
F,2023-12-06,AL,organic
F,2026-07-05,CA,organic
F,2023-01-27,CA,meta
M,2026-02-16,TX,google_ads
F,2023-03-11,AZ,organic
M,2024-10-05,FL,organic
F,2026-06-30,VA,meta
M,2025-08-15,DC,organic
F,2023-01-24,TX,google_ads
F,2022-09-26,PA,organic
M,2023-04-13,NC,google_ads
M,2025-10-20,SC,referral
M,2025-06-12,FL,organic
M,2024-12-07,DC,organic
M,2024-12-23,FL,organic
M,2023-11-07,CT,google_ads
F,2023-11-15,TX,google_ads
F,2024-03-06,NY,organic
M,2024-05-01,CA,organic
F,2023-04-13,OH,referral
M,2024-09-27,TX,meta
F,2022-09-08,PA,google_ads
M,2023-05-16,IL,google_ads
M,2024-05-20,CA,google_ads
F,2024-09-29,GA,google_ads
M,2026-03-09,WV,meta
F,2024-06-07,CA,referral
F,2025-10-11,CA,organic
F,2026-06-04,WA,meta
F,2023-06-26,HI,referral
M,2025-02-28,FL,referral
F,2025-11-24,TX,google_ads
M,2024-07-25,OK,organic
M,2024-04-24,NC,google_ads
F,2022-08-01,CA,referral
M,2026-08-10,LA,meta
M,2026-08-01,NY,google_ads
M,2023-07-13,FL,referral
F,2024-09-21,IL,referral
M,2025-11-20,KS,meta
F,2022-10-01,OR,google_ads
F,2025-10-20,WA,google_ads
M,2023-11-16,MO,referral
M,2025-01-04,CA,organic
M,2024-12-10,OH,referral
F,2024-05-23,OH,referral
F,2025-07-17,OR,organic
F,2022-08-11,VA,referral
F,2024-10-06,HI,referral
M,2025-01-07,DC,referral
F,2025-01-23,SC,google_ads
M,2023-04-15,CA,meta
M,2025-03-22,TX,organic
F,2023-11-30,IL,google_ads
F,2023-12-04,MN,organic
M,2023-12-25,FL,referral
M,2023-04-27,VA,organic
F,2025-12-06,CA,referral
F,2026-06-04,NC,meta
M,2024-02-15,PA,meta
F,2026-02-19,NV,organic
M,2023-06-30,OK,referral
F,2023-04-11,TN,organic
F,2026-01-25,OH,google_ads
F,2025-02-16,NC,meta
F,2024-03-23,TX,organic
F,2026-03-23,CA,referral
M,2026-07-25,TX,organic
M,2024-02-19,LA,organic
F,2023-12-08,TN,google_ads
F,2022-09-07,NC,meta
M,2023-01-06,PA,meta
F,2024-10-29,TX,referral
F,2024-09-24,NY,google_ads
F,2024-03-21,UT,google_ads
M,2024-06-02,CO,google_ads
F,2023-06-04,AZ,google_ads
F,2025-12-10,OH,meta
F,2026-04-13,MA,referral
M,2023-03-25,FL,referral
M,2025-07-19,NJ,referral
F,2026-08-19,AL,referral
M,2025-04-25,CA,referral
F,2025-12-27,AZ,google_ads
M,2025-07-22,CA,organic
F,2024-12-19,CA,meta
F,2022-10-15,TX,organic
F,2026-08-04,TX,meta
F,2024-03-17,MI,organic
M,2025-07-25,NY,referral
F,2026-02-13,FL,organic
M,2023-12-12,UT,meta
M,2022-08-23,IL,google_ads
M,2024-01-30,AL,referral
M,2023-07-24,TX,meta
M,2024-04-01,TX,meta
F,2024-03-14,TX,referral
F,2025-02-22,NY,organic
F,2025-06-23,MO,meta
F,2024-12-07,TX,referral
F,2023-05-04,KY,organic
F,2022-10-11,OH,referral
F,2024-04-11,TX,referral
M,2024-09-28,TX,google_ads
M,2023-02-12,FL,referral
M,2023-06-26,HI,organic
F,2023-01-21,MN,meta
M,2026-01-04,NE,organic
M,2026-04-14,MO,google_ads
F,2024-08-09,TX,meta
F,2026-03-16,FL,organic
M,2023-01-20,NY,organic
F,2022-10-11,NE,organic
F,2023-10-06,VA,meta
F,2025-07-21,TX,organic
M,2025-12-01,GA,organic
M,2022-12-20,IL,referral
